occasional,core,labels,regular
236,100,13-Q1,157
277,126,13-Q2,218
384,160,13-Q3,241
360,160,13-Q4,251
477,175,14-Q1,315
429,177,14-Q2,331
559,188,14-Q3,393
317,168,14-Q4,287
